013	'nYl-dEr-tin
de-de-de-de-	'd@-d@-d@-d@
de-de-de-de-de-de-de-	'd@-d@-d@-d@-d@-d@-d@
de-deden	de-'de-d@n
deden	'de-d@
de-doen	de-'dun
dee	'de
dee-	'de
deed	'det
deel	'del
definiÃ«ren	de-fi-'nje-r@
degene	d@-'Ge-n@
degenen	d@-'Ge-n@
dekhengst	'dEk-hENst
delen	'de-l@
dement	de-'mEnt
dempen	'dEm-p@
den	'dEn
denk	'dENk
denken	'dEN-k@
-denking	'dEn-kIN
denkt	'dENkt
der	'dEr
derde	'dEr-d@
dergelijks	'dEr-G@lks
dermatologe	dEr-ma-to-'lo-G@
dertien	'dEr-tin
dertiende	'dEr-tin-d@
dertig	'dEr-t@x
descartes	dEs-'kAr-t@s
design	di-'zAjn
designer	de-'sAj-n@r
desnoods	dEs-'nots
deur	'd2r
deuren	'd2-r@
deurne	'd2r-n@
deze	'de-z@
dezelfde	d@-'zElv-d@
di	'di
di-	'di
dicht	'dIxt
dichtbij	dIGd-'bE+
dichterbij	dIx-t@r-'bE+
dichtgedaan	'dIxt-x@-dan
di-di-di-dit	'dI-dI-dI-dIt
die	'di
die-die	di-'di
die-die-die	di-di-'di
dienst	'dinst
diensten	'dins-t@
diep	'dip
diepe	'di-p@
dieper	'di-p@r
diepgewortelde	'dip-x@-wOr-t@l-d@
diepte	'dip-t@
dieren	'di-r@
diez-	'diz
dieze	'di-z@
digitale	di-Gi-'ta-l@
dijsselbloem	'dE+-s@l-blum
dik	'dIk
dikke	'dI-k@
dimensie	di-'mEn-zi
ding	'dIN
dingen	'dI-N@
dingetje	'dI-N@-tj@
dingetjes	'dI-N@-tj@s
dinosaurs	di-no-'sA+rs
dinsdag	'dInz-dAx
dinsdagavond	'dInz-dAG-a-vOnt
dinsdags	'dInz-dAxs
direct	di-'rEkt
dirk	'dIrk
discussie	dIs-'kY-si
disputen	dIs-'py-t@
dispuut	dIs-'pyt
dit	'dIt
dive-	'di-vE
diversiteit	di-vEr-si-'tE+t
dj	'de-je
dja	'tja
d-ja	d-'jA
djeez	'djes
djij	'djE+
djmag-uitslag	di-djEj-'mAg-Y+t-slAG
dj's	'de-jes
dna	de-En-'a
docent	do-'sEnt
dochter	'dOx-t@r
document	do-ky-'mEnt
documenten	do-ky-'mEn-t@
doe	'du
doedag	'du-dAG
doedelzakken	'du-d@l-zA-k@
doel	'dul
doem	'dum
doen	'dun
doet	'dut
dol	'dOl
doldwa-	'dOl-dwa
dolle	'dO-l@
dom	'dOm
domme	'dO-m@
donderdag	'dOn-d@r-dAx
donderdagavond	dOn-d@r-dax-'a-vOnt
done	'don@
dongens	'dO-N@ns
donkerblauw	'dON-k@r-blA+w
donkerblauwe	'dON-k@r-blA+-w@
donner	'dO-n@r
dood	'dot
dool-doolhof	dol-'dol-hOf
doolhof	'dol-hOf
door	'dor
doordat	dor-'dAt
doorgaan	'dor-Gan
doorgegeven	'dor-G@-Ge-v@
doorgelezen	'dor-G@-le-z@
doorgroeimogelijkheden	'dor-Gruj-mo-G@-l@k-he-d@
doorheen	dor-'hen
doorknallen	'dor-knA-l@n
doorlezen	dor-'le-z@
doorlopen	dor-'lo-p@
doorlopend	'dor-lo-p@nt
doornroosje	dorn-'ros-j@
dorp	'dOrp
dorpje	'dOrp-j@
dorpsoudste	'dOrps-uA+t-st@
dou	'dA+
dou-	'dA+
douchen	'du-S@
download	'dA+n-lowAt
dr	'dr
d'r	d@r
dr-	'dr
draad	'drat
draadjes	'drat-j@s
draagt	'draxt
draai	'draj
draai-	'draj
draaide	'draj-d@
draaien	'dra-j@
draait	'drajt
draak	'drak
dragen	'dra-G@
drama	'dra-ma
drang	'drAN
drank	'drANk
dranklevering	'drAnk-le-v@-rIN
dream	'drim
dreigt	'drE+xt
drie	'dri
drieÃ«n	drij@
drieÃ«ntwintig	'dri-jEn-twIn-t@x
driehonderd	'dri-hOn-d@rt
driehonderdvijftig	dri-hOn-d@rt-'vE+f-t@x
driehonderdzesenzestig	dri-hOn-d@rt-'zEs-@n-zEs-t@x
driekwart	'dri-kwArt
drieën	'dri-j@
drie-rie	dri-'ri
drik	'drIk
drink	'drINk
drinken	'drIN-k@
drinks	'drInks
drinkt	'drINkt
dürüm	'dY-rYm
droge	'dro-G@
drol	'drOl
dromen	'dro-m@
dronken	'drON-k@
droog	'drox
drrr	'dr
drugs	'drYks
drugsgebruik	'drYxs-x@-brY+k
druif	'drY+f
druk	'drYk
drukst	'drYkst
drukt	'drYkt
drukte	'drYk-t@
drummer	'drY-m@r
ds-	'ds
dubbel	'dY-b@l
dubbele	'dY-b@-l@
dubstep	'dYb-stEp
duh	'dY
duidelijk	'dY+-d@-l@k
duidelijker	'dY+-d@-l@-k@r
duits	'dY+ts
duitse	'dY+t-s@
duitser	'dY+t-s@r
duitsers	'dY+t-s@rs
duizend	'dY+-z@nt
dukenburg	'dy-k@m-bYrx
dum-	'dYm
dumbelltjes	'dYm-b@l-tj@s
duo	'dy-wo
dure	'dy-r@
duren	'dy-r@
durex	'dy-rEks
durf	'dYrf
durft	'dYrft
dÃŒrÃŒm	dYrYm
durven	'dYr-v@
dus	'dYs
dus-s	'dYs-s
duur	'dyr
duurde	'dyr-d@
duurt	'dyrt
duwen	'dy-w@
dvd	de-ve-'de
dwaze	'dwa-z@
dwerg	'dwErx
dwergen	'dwEr-G@
dz	'dz
dz-	'dz
dz-dz-	'dz-dz
e	'e
e-books	'e-buks
ech	'Ex
ech-	'Ex
ech-echt	Ex-'Ext
echt	'Ext
echte	'Ex-t@
echt-t	'Ext-t
economie	e-ko-no-'mi
edgar	'Ed-xAr
ee	'e
ee-	'e
e-echt	E-'Ext
eeg	e-e-'xe
een	'@n
e-en	E-'En
Ã©Ã©n	en
een-een	'en-en
Ã©Ã©n-Ã©Ã©n	enen
eenentwintig	'en-En-twIn-t@x
eenmaal	'en-mal
eens	'ens
eens-s	'ens
eentje	'en-tj@
eenzaam	'en-zam
eer	'er
eerder	'er-d@r
eergister	'er-GIs-t@r
eergisteren	er-'GIs-t@-r@
eerlijk	'er-l@k
eerst	'erst
eerste	'er-st@
eerstejaars	er-st@-'jars
eet	'et
eeuwe	'e-w@
ef-	'Ef
effe	'E-f@
effect	E-'fEkt
effecten	E-'fEk-t@
effectief	E-fEk-'tif
effects	E-'fEkts
effenaar	'E-f@-nar
effentjes	'E-f@n-tj@s
effetjes	'E-f@-tj@s
eg	e-'xe
-eg	'EG
eh	e-'ha
eh-	'2
Ãšh	E
ehm	'@m
ei	'E+
eigen	'E+-G@
eigen-	'E+-G@n
eigenlijk	'E+-G@-l@k
eiland	'E+-lAnt
eind	'E+nt
eind-	'E+nd
einde	'E+n-d@
eindelijk	'E+n-d@-l@k
eindhoven	'2Int-ho-v@
eindhovense	'2Int-ho-v@-s@
eindigt	'E+n-d@xt
eindredactie	'E+nd-re-dAk-si
eindresultaat	'E+nd-re-zYl-tat
elektriciteits-	e-lEk-trI-sI-'tE+t
elektrische	e-'lEk-tri-s@
elf	'Elf
elias	'e-li-jas
elisabeth	e-'li-za-bEt
elk	'Elk
elkaar	El-'kar
elkaars	El-'kars
elke	'El-k@
elk-elke	Elk-'El-k@
ellende	E-'lEn-d@
ellendig	E-'lEn-d@x
elsevier	'el-s@-vir
email	'e-mAjl
emmer	'E-m@r
en	'En
endomondo	En-dO-'mOn-dO
ene	'e-n@
enen	'e-n@
en-en	'En-En
en-en-en-en-en	'En-En-En-En-En
energie	e-nEr-'Zi
energy	'E-n@r-dji
enerzijds	'e-n@r-zE+ts
eng	'EN
engeland	'E-N@-lAnt
engels	'E-N@ls
engelse	'E-N@l-s@
engst	'ENst
enig	'e-n@x
enige	'e-n@-G@
enigste	'e-n@x-st@
enkel	'EN-k@l
enkele	'EN-k@-l@
en-n	'En-n
enorm	e-'nOrm
enorme	e-'nOr-m@
entree	En-'tre
epi	'e-pi
epi-	'E-pI
episod-	'E-pI-sod
er	'Er
er-	'Er
eraan	Er-'an
erachter	Er-'Ax-t@r
eraf	Er-'Af
erasmusgebouw	e-'rAs-mYs-G@-bA+
erb-	'Erb
erbij	Er-'bE+
erbuiten	Er-'bY+-t@
erdoor	Er-'dor
erdoorheen	Er-dor-'hen
erg	'Erx
erge	'Er-G@
ergens	'Er-G@ns
erger	'Er-G@r
ergeren	'Er-G@-r@
ergste	'Erx-st@
erheen	Er-'hen
eric	'e-rIk
erik	'e-rIk
erin	Er-'In
ermee	Er-'me
erna	Er-'na
ernaar	Er-'nar
ernaartoe	Er-nar-'tu
ernst	'Ernst
eromheen	Er-Om-'hen
eronder	Er-'On-d@r
erop	Er-'Op
erover	Er-'o-v@r
ertegen	Er-'te-G@
ertegenop	Er-te-G@-'Op
ertegenover	Er-te-G@-'o-v@r
ertussen	Er-'tY-s@
eruit	Er-'Y+t
eruitziet	Er-'Y+t-sit
ervan	Er-'vAn
ervaring	Er-'va-rIN
ervoor	Er-'vor
esclave	Es-'kla-v@
estheeth-	Es-'tet
esthetica	Es-'te-ti-ka
esv	e-Es-'ve
etcetera	Et-'se-t@-ra
eten	'e-t@
ethisch	'e-tis
eu	e-'u
euh	'2h
eur-	'2r
euro	'2-ro
europese	2-ro-'pe-s@
euros	'2-ros
ev-	'ev
even	'e-v@
evenement	e-v@-n@-'mEnt
even-even	'e-v@n-e-v@n
event	'i-vEnt
eventjes	'e-v@n-tj@s
eventstatus	'e-vEnt-sta-tYs
eventueel	e-v@n-ty-'wel
evenveel	'e-v@n-vel
everything	'E-v@-ri-tIng
evil	'e-vIl
existentialisme	Ek-si-stEn-Sa-'lIs-m@
existentialisten	ek-sIs-tEn-sIA-'lIs-t@n
experiment	Eks-pe-ri-'mEnt
experimenten	Eks-pe-ri-'mEn-t@
experimentjes	Eks-pe-ri-'mEnt-j@s
extern	Eks-'tErn
extra	'Eks-tra
extreem	Eks-'trem
ey	e-'waj
eye	'e-Aj
eye-	'Aj
eyechecker	'aj-tZE-k@r
eyecheckingsexperimentje	'aj-tZEk-INs-Eks-pe-ri-mEn-tj@
ey'er	E-'+Er
ezels	'e-z@ls
f	'Ef
f-	f
faalt	'falt
facebook	'fEs-buk
factor	'fAk-tOr
faculteit	fA-kYl-'tE+t
fair	'fE:r
familie	fa-'mi-li
familiedag	fa-'mi-li-dAx
fan	'fEn
fans	'fEns
fantasie	fAn-ta-'zi
fantastisch	fAn-'tAs-tis
fascinerend	fA-si-'ne-r@nt
fasen	'fa-z@
fatsoenlijk	fAt-'sun-l@k
febo	'fe-bo
februari	fe-bry-'wa-ri
feest	'fest
feesten	'fes-t@
feestje	'fest-j@
feit	'fE+t
feromonen	fe-ro-'mo-n@n
fest	'fest
festival	'fEs-ti-vAl
feuten	'f2-t@n
fiches	'fi-S@s
fiets	'fits
fietsen	'fit-s@
fietskoerierachtige	'fIts-ku-rir-Ax-t@-x@
fietst	'fitst
fif-	'fif
fifa	'fi-fa
fiftyfifty	'fIf-ti-fIf-ti
fight	'fAjt
figuur	fi-'Gyr
fijn	'fE+n
fijne	'fE+-n@
fijner	'fE+-n@r
fik	'fIk
fikkie	'fI-ki
film	'fIlm
filmen	'fIl-m@
filmpjes	'fIlm-pj@s
films	'fIlms
filosofie	fi-lo-so-'fi
filosofische	fi-lo-'so-fi-s@
filter	'fIl-t@r
filteren	'fIl-t@-r@
finale	fi-'na-l@
financiÃ«le	finAnSel@
financiële	fi-nAn-'Se-l@
fit	'fIt
fitheid	'fIt-hE+t
fitness	'fIt-n@s
fitnessen	'fIt-n@-s@
fixen	'fIk-s@
fj	'fj
flabbergasted	'flE-b@r-gEs-t@d
flat	'flEt
flatgebouw	'flEt-x@-bA+w
flauw	'flA+w
fles	'flEs
flesje	'flEs-j@
flesjes	'flEs-j@s
flessen	'flE-s@
flikker	'flI-k@r
flink	'flINk
fluisteren	'flY+s-t@-r@
fluisterend	'flY+s-t@-r@nt
focus	'fo-kYs
focussen	'fo-kY-s@
fok	'fOk
fokking	'fO-kIN
fondsen	'fOnt-s@
fons	'fOns
fontys	'fOn-tis
food	'fut
for	'fOr
format	'fOr-mAt
formele	fOr-'me-l@
formtuyn	'fOrm-tY+n
formulier	fOr-my-'lir
fort	'fOr
foto	'fo-to
fotootje	'fo-to-tj@
foto's	'fo-tos
fotospel	'fo-to-spEl
fout	'fA+t
foute	'fA+-t@
fouten	'fA+-t@
foutje	'fA+-tj@
fox	'fOks
fragmenten	frAG-'mEn-t@
frank	'frANk
frans	'frAns
franse	'frAn-s@
fred	'frEt
fries	'fris
friet	'frit
frietbakje	'frit-bAk-j@
frietpan	'frit-pAn
fris	'frIs
frisse	'frI-s@
frites	'frits
frituren	fri-'ty-r@
frustrerend	frYs-'tre-r@nt
fu	'fy
fu-	'fy
fuck	'fYk
fucked	'fYk@d
fucking	'fY-kIN
fuik	'fY+k
fullti-	'ful-tAj
fulltime	'ful-tAjm
functie	'fYNk-si
functiegroep	'fYnk-si-Grup
fusies	'fy-zis
fust	'fYst
fusten	'fYs-t@
futu-	'fY-tY
futurama	fY-tjE-'ra-ma
fysieke	fi-'si-k@
g	'xe
g-	'G
ga	'xa
ga-	'Ga
gaa-	'Ga
gaaf	'xaf
gaan	'xan
gaande	'xan-d@
gaar	'xar
gaat	'xat
gaf	'xAf
ga-ga	'Ga-Ga
gala	'xa-la
game	'xem@
game-	'gE-m@
gamen	'gE-m@n
gaming	'gE-mIN
gandalf	'xAn-dA-l@f
gang	'xAN
gang-app	'GAN-Ap
gang-facebook	'GAN-fEs-buk
ganggenoot	'xA-N@-not
ganggenote-	'GAN-G@-no-t@
gare	'xa-r@
gast	'xAst
gastcollege	'xAst-kO-le-Z@
gasten	'xAs-t@
gastje	'xAs-tj@
gat	'xAt
gaten	'xa-t@
gatver	'xAt-f@r
gatver-	'GAt-v@r
gatverdamme	'xAt-f@r-dA-m@
gauw	'xA+w
gave	'xa-v@
ge	'x@
geanalyseerd	x@-a-na-li-'zert
gearresteerd	x@-A-rEs-'tert
gebak	x@-'bAk
gebakken	x@-'bA-k@
gebaseerd	x@-ba-'zert
gebeld	x@-'bElt
gebeurd	x@-'b2rt
gebeurde	x@-'b2r-d@
gebeuren	x@-'b2-r@
gebeurt	x@-'b2rt
gebied	x@-'bit
geblesseerd	x@-blE-'sert
gebleven	x@-'ble-v@
geboekt	x@-'bukt
gebogen	x@-'bo-G@
geboortehuis	x@-'bor-t@-hY+s
geboren	x@-'bo-r@
gebouw	x@-'bA+w
gebouwd	x@-'bA+wt
gebouwen	x@-'bA+-w@
gebracht	x@-'brAxt
gebruik	x@-'brY+k
gebruiken	x@-'brY+-k@
gebruikt	x@-'brY+kt
gebruikte	x@-'brY+k-t@
gecanceld	x@-'kAn-s@lt
gechild	Ge-'tSIlt
geclaimd	x@-'klemt
gecontroleerd	x@-kOn-tro-'lert
geda-	G@-'da
gedaan	x@-'dan
gedacht	x@-'dAxt
gedachte	x@-'dAx-t@
gedachtes	x@-'dAx-t@s
gedag	x@-'dAx
gedech-	G@-'dEx
geding	x@-'dIN
gedoe	x@-'du
gedrag	x@-'drAx
gedrags-	G@-'drAGs
gedrang	x@-'drAN
gedronken	x@-'drON-k@
geduwd	x@-'dywt
gedwongen	x@-'dwO-N@
geef	'xef
geeft	'xeft
geen	'xen
geert	'xert
geest	'xest
geestig	'xes-t@x
gefeut	G@-'f2t
gefietst	x@-'fitst
gefixt	G@-'fIkst
gefrituurd	G@-fri-'tyrt
geg	'xEG
gegaan	x@-'Gan
gege-	'G@-Ge
ge-gedaan	G@-G@-'dan
gegeten	x@-'Ge-t@
gegeven	x@-'Ge-v@
gegooid	x@-'Gojt
geh-	'G@
gehaald	x@-'halt
gehad	x@-'hAt
gehaktballetjes	x@-'hAgd-bA-l@-tj@s
gehanteerd	x@-hAn-'tert
geheimen	x@-'hE+-m@
gehoest	x@-'hust
gehoeven	x@-'hu-v@
geholpen	x@-'hOl-p@
gehoord	x@-'hort
gehouden	x@-'hA+-d@
gehou-houwen	G@-hA+-'hA+-w@n
gehuwd	x@-'hywt
geinig	'xE+-n@x
gejat	x@-'jAt
gek	'xEk
gek-	'G@k
gekeken	x@-'ke-k@
gekend	x@-'kEnt
gekke	'xE-k@
geklets	x@-'klEts
gekleurd	x@-'kl2rt
gekocht	x@-'kOxt
gekomen	x@-'ko-m@
gekookt	x@-'kokt
gekozen	x@-'ko-z@
gekregen	x@-'kre-G@
gekund	x@-'kYnt
gel	'ZEl
gel-	'G@l
gelachen	x@-'lA-x@
gelaten	x@-'la-t@
geld	'xElt
gelderlander	'xEl-d@r-lAn-d@r
geldstromen	'xElt-stro-m@
gele	'xe-l@
gele-	'G@-le
geleden	x@-'le-d@
geleerd	x@-'lert
gelegd	x@-'lExt
gelegen	x@-'le-G@
gelegenheden	x@-'le-G@-he-d@
gelezen	x@-'le-z@
gelij-	'G@-lE+
gelijk	x@-'lE+k
gelo-	'G@-lo
geloof	x@-'lof
gelooft	x@-'loft
gelopen	x@-'lo-p@
gelost	x@-'lOst
geloven	x@-'lo-v@
gelovig	x@-'lo-v@x
gelovige	x@-'lo-v@-G@
gelredome	'xEl-re-dom@
gelui	x@-'lY+
gelui-	G@-'lY+
geluid	x@-'lY+t
geluidskaart	x@-'lY+ts-kart
geluidsman	x@-'lY+ts-mAn
geluk	x@-'lYk
gelukkig	x@-'lY-k@x
gelukt	x@-'lYkt
gelul	x@-'lYl
gemaakt	x@-'makt
gemaild	x@-'melt
gemakkelijk	x@-'mA-k@-l@k
gematst	x@-'mAtst
gember	'xEm-b@r
gemeente	x@-'men-t@
gemerkt	x@-'mErkt
gemert	'x@-m@rt
gemiddeld	x@-'mI-d@lt
gemiddelde	x@-'mI-d@l-d@
gemist	x@-'mIst
gemoeten	x@-'mu-t@
gemotiveerd	x@-mo-ti-'vert
geneeskunde	x@-'nes-kYn-d@
generale	xe-n@-'ra-l@
genetisch	x@-'ne-tis
genieten	x@-'ni-t@
genius	'xe-ni-jYs
genoeg	x@-'nux
genomen	x@-'no-m@
genuanceerder	x@-ny-wAn-'ser-d@r
georganiseerd	x@-Or-Ga-ni-'zert
georganiseerds	G@-Or-gA-ni-'serts
geori-	'G@-o-rI
georiÃ«nteerd	x@-o-ri-jEn-'tert
gepast	x@-'pAst
gepersonalis-	'G@-pEr-so-na-lIs
gepersonaliseerd	G@-pEr-so-na-li-'sert
geplaatst	x@-'platst
gepland	x@-'plEnt
gepraat	x@-'prat
gepresenteerd	x@-pr@-zEn-'tert
geprezen	x@-'pre-z@
gepubliceerd	x@-py-bli-'sert
ger	'x@r
ger-	'G@r
geraakt	x@-'rakt
gerandomiseerd	G@-'rAn-do-mi-sert
gerandomiseerde	G@-rAn-do-mi-'ser-d@
gereageerd	x@-re-ja-'Gert
gereden	x@-'re-d@
gereedschap	x@-'ret-sxAp
gereedschappen	x@-'ret-sxA-p@
geregeld	x@-'re-G@lt
gericht	x@-'rIxt
gerookt	x@-'rokt
geschiedenis	x@-'sxi-d@-nIs
geschreven	x@-'sxre-v@
geslaagd	x@-'slaxt
geslagen	x@-'sla-G@
geslapen	x@-'sla-p@
gesloopt	x@-'slopt
gesneden	x@-'sne-d@
gesolliciteerd	x@-sO-li-si-'tert
gespeeld	x@-'spelt
gesponsord	x@-'spOn-s@rt
gespoten	x@-'spo-t@
gesprek	x@-'sprEk
gesprekken	x@-'sprE-k@
gespreksonderwerp	x@-'sprEks-On-d@r-wErp
gesproken	x@-'spro-k@
gest-	'G@st
gestaan	x@-'stan
gesteld	x@-'stElt
gestemd	x@-'stEmt
gestempeld	x@-'stEm-p@lt
gestolen	x@-'sto-l@
gestopt	x@-'stOpt
gestroomlijnd	x@-'strom-lE+nt
gestructureerd	x@-strYk-ty-'rert
gestuurd	x@-'styrt
getal	x@-'tAl
getekend	x@-'te-k@nt
geteld	x@-'tElt
getennist	x@-'tE-n@st
getoond	x@-'tont
getrouwd	x@-'trA+wt
getting	'gE-tIN
geu-goedkoop	G2-Gut-'kop
geval	x@-'vAl
gevallen	x@-'vA-l@
geven	'xe-v@
geverfd	x@-'vErft
gevoel	x@-'vul
gevolgd	x@-'vOlxt
gevonden	x@-'vOn-d@
gevraagd	x@-'vraxt
gevreten	x@-'vre-t@
gew	xe-e-'we
gew-	'G@w
geweest	x@-'west
geweldig	x@-'wEl-d@x
gewend	x@-'wEnt
gewerkt	x@-'wErkt
geweten	x@-'we-t@
gewicht	x@-'wIxt
gewichten	x@-'wIx-t@
gewichtjes	x@-'wIx-j@s
gewild	x@-'wIlt
gewisseld	x@-'wI-s@lt
gewo-	'G@-wo
gewon	x@-'wOn
gewon-	'G@-wOn
gewone	x@-'wo-n@
gewonnen	x@-'wO-n@
gewoon	x@-'won
geworden	x@-'wOr-d@
gez-	'G@z
gezaagd	x@-'zaxt
gezamenlijke	x@-'za-m@-l@-k@
gezegd	x@-'zExt
gezeik	x@-'zE+k
gezellig	x@-'zE-l@x
gezellige	x@-'zE-l@-G@
gezelliger	x@-'zE-l@-G@r
gezelligheid	x@-'zE-l@x-hE+t
gezet	x@-'zEt
gezeten	x@-'ze-t@
gezicht	x@-'zIxt
gezichtsuitdrukking	x@-'zIxts-Y+-drY-kIN
gezien	x@-'zin
-gezien	'G@-zin
gezondheid	x@-'zOnt-hE+t
gezongen	x@-'zO-N@
g-gaat	G-'Gat
g-gebeurt	G-G@-'b2rt
g-gewoon	G-G@-'won
g-gezocht	G-G@-'zOxt
g-groningen	G-'Gro-nI-N@n
ghana	'ga-na
gi-	'Gi
giel	'xil
gigantische	xi-'GAn-ti-s@
gigrantische	GI-'GrAn-ti-sx@
giletje	'SI-lEt-j@
gin	'dZIn
gin-	'GIn
ging	'xIN
gingen	'xI-N@
gister	'xIs-t@r
gisteravond	xIs-t@r-'a-vOnt
gisteren	'xIs-t@-r@
gisterenmiddag	xIs-t@-r@-'mI-dAx
gitaar	xi-'tar
gitaardingetje	gi-'tar-dI-N@-tj@
g-kapot	G-kA-'pOt
gl-	'Gl
glazen	'xla-z@
glijdt	'xlE+t
go	'xo
go-	'Go
goal	'gol
gobarentaal	GO-'ba-r@n-tal
god	'xOt
goden	'xo-d@
godsnaam	'xOts-nam
godverdomme	xOt-f@r-'dO-m@
goe	Gu
goe-	Gu
goed	'xut
goede	'xu-d@
goedgelovig	xut-x@-'lo-v@x
goedkeuren	'xut-k2-r@
goedkoop	xut-'kop
goedkope	xut-'ko-p@
goedkoper	xut-'ko-p@r
goeds	'xuts
goeie	'xu-j@
goesbeekseweg	'gus-bek-s@-wEG
goffertpark	'xO-f@rt-pArk
goh	'xO
goh-	'Go
goldstrike	'golt-strAjk
gomorra	xO-'mO-ra
gooi	'xoj
gooien	'xo-j@
gordijn	xOr-'dE+n
gordijntjes	xOr-'dE+n-tj@s
governance	'xo-v@r-nAns@
gozer	'xo-z@r
gr	'xeEr
gr-	'Gr
gra-	'Gra
graafseweg	'xraf-s@-wEx
graag	'xrax
graden	'xra-d@
graffiti	grE-'fI-ti
grafisch	'xra-fis
grammatica's	GrA-'ma-ti-kas
grammetje	'xrA-m@-tj@
grap	'xrAp
grapje	'xrAp-j@
grappen	'xrA-p@
grappig	'xrA-p@x
gras	'grA
grasmaaiers	'grAs-ma-j@rs
gratis	'xra-t@s
grendel	'xrEn-d@l
grens	'xrEns
grenst	'xrEnst
grenzen	'xrEn-z@
grieken	'xri-k@
griekenland	'xri-k@-lAnt
griet	'xrit
grijs	'xrE+s
grip	'xrIp
groen	'xrun
groenlinks	xrun-'lINks
groente	'xrun-t@
groep	'xrup
groepen	'xru-p@
groepje	'xrup-j@
groepjes	'xrup-j@s
groepsapp	'Grups-Ap
groepslocatie	'Grups-lo-ka-tsi
groepsopdracht	'xrups-Ob-drAxt
groesbeek	'xruz-bek
groesbeekse	'Grus-bek-s@
groesbeekseweg	'xruz-bek-s@-wEx
groetjes	'xrut-j@s
groningen	'xro-nIN@
groot	'xrot
grootschalig	xrot-'sxa-l@x
grootste	'xrot-st@
grote	'xro-t@
groter	'xro-t@r
grotere	'xro-t@-r@
grr	'gr
gruwelijk	'xry-w@-l@k
guardian	'gAr-di-jAn
guess	'gEs
guesthouse	'gEst-hA+s
guus	'gys
g-verschillende	x-fEr-'sxI-l@n-d@
h	'ha
èh	'E
h-	'h
hè	'hE
ha	'ha
ha-	'ha
haal	'hal
haalbaar	'hal-bar
haalde	'hal-d@
haalt	'halt
haar	'har
haarlem	'har-lEm
haars	'hars
haast	'hast
had	'hAt
hadden	'hA-d@
hadden-hadden	'hA-d@n-hA-d@n
ha-haalde	ha-'hal-d@
ha-had	hA-'hAt
hak	'hAk
hakenkruisen	'ha-k@-krY+-s@
hakken	'hA-k@
halen	'ha-l@
half	'hAlf
halfuur	'hAlf-yr
-haling	'ha-lIN
hall	'hAl
hallo	hA-'lo
halve	'hAl-v@
halverweek	hAl-v@r-'wek
halverwege	hAl-v@r-'we-G@
ham	'hAm
ham-	'hAm
hamburger	'hAm-bYr-G@r
hamburgerketen	'hAm-bYr-G@r-k@-t@
han	'hAn
han-	'hAn
hand	'hAnt
handboek	'hAnd-buk
handdoek	'hAn-duk
handel	'hAn-d@l
handeling	'hAn-d@-lIN
handelt	'hAn-d@lt
handen	'hAn-d@
handig	'hAn-d@x
handige	'hAn-d@-G@
handiger	'hAn-d@-G@r
handjes	'hAnt-j@s
handschrift	'hAnt-sxrIft
handtekening	'hAn-te-k@-nIN
hangen	'hA-N@
hangt	'hANt
hanneke	'hA-n@-k@
hans	'hAns
hansje	'hAns-j@
hap	'hAp
happen	'hA-p@
hard	'hArt
harde	'hAr-d@
harder	'hAr-d@r
hardlopen	'hArd-lo-p@
hardy	'hAr-di
haren	'ha-r@
harmonie	hAr-mo-'ni
harris	'hA-ris
hart	'hArt
hartaa-	hAr-'ta
hartaanval	'hArt-an-vAl
hartaanvallen	'hArt-an-vA-l@
hartstikke	'hArt-stI-k@
hbo	ha-be-'o
he	'he
he-	'he
hÃ©	he
hÃš	hE
health	'h@ls
heat	'hit
heb	'hEp
heb-	'hEp
hebben	'hE-b@
hebt	'hEpt
hecht	'hExt
hedonisme	he-do-'nIs-m@
heef	'hef
heef-	'hef
heeft	'heft
heel	'hel
heelma	'hel-ma
heen	'hen
heer	'her
heerlijk	'her-l@k
heet	'het
heette	'he-t@
heftig	'hEf-t@x
heftige	'hEf-t@-G@
heidegger	'hE+-d@-G@r
heijendaal	'hE+-@n-dal
heijn	'hE+n
heijnbrood	'hE+jn-brot
heilig	'hE+-l@x
hein	'hE+n
heineken	'hE+-n@-k@
heino	'hE+-no
heis	'hE+s
hekel	'he-k@l
hel	'hEl
helaas	he-'las
helden	'hEl-d@
helder	'hEl-d@r
hele	'he-l@
heleb-	'he-l@b
helemaal	he-l@-'mal
helem-helemaal	he-l@m-he-l@-'mal
helft	'hElft
hell	'hEl
helm	'hElm
helm-	'hElm
helmond	'hEl-mOnt
hem	'hEm
hema	'he-ma
hemd	'hEmt
hemdje	'hEmt-j@
hemelsnaam	'he-m@ls-nam
henry	'hEn-ri
her	'hEr
her-	'hEr
herdenking	hEr-'dEN-kIN
herdenkingsdienst	hEr-'dEN-kINz-dinst
herder	'hEr-d@r
herfst	'hErfst
herfstvak-	'hErfst-vAk
herfstvakantie	'hErfst-fa-kAn-si
herhaald	hEr-'halt
herhaalt	hEr-'halt
herinner	hEr-'I-n@r
herinneren	hEr-'I-n@-r@
herintroduceren	'hEr-In-tro-dy-se-r@n
herken	hEr-'kEn
herkenbaars	hEr-'kEn-bars
herkend	hEr-'kEnt
herrie	'hE-ri
hersenen	'hEr-s@-n@
hersens	'hEr-s@ns
hessel	'hE-s@l
hessels	'hE-s@ls
het	'@t
hete	'he-t@
heten	'he-t@
het-t	'hEt-t
hetzelfde	hEt-'sElv-d@
heu	'h2
heumensoord	'hejY-m@s-ort
